"Enemy","Name",,,,,,,,,,,,
,"bigBoyB",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health","Point Value","Minimum Player Score","Maximum Player Score","Max Instance Per Wave",,,,,
,"Flipbook","68:5",100,32,1000,2000,9000,11000,1,,,,,
"Behavior","Type","Speed","Target Radius","","","","","","","","","",""
,"Surround",5,200,,,,,,,,,,
"Weapon","Type","Image Path","Image Position X","Image Position Y","Fire Position X","Fire Position Y","Rotation Min","Rotation Max","Accuracy","Damage","Distance Max","Firing Rate",""
,"MachineGun","67",0,0,32,0,90,90,80,5,250,0.6,
"Weapon","Type","Image Path","Image Position X","Image Position Y","Fire Position X","Fire Position Y","Rotation Min","Rotation Max","Accuracy","Damage","Distance Max","Firing Rate",""
,"MachineGun","67",0,0,-32,0,-90,-90,80,5,250,0.6,
"Weapon","Type","Image Path","Image Position X","Image Position Y","Fire Position X","Fire Position Y","Rotation Min","Rotation Max","Accuracy","Damage","Distance Max","Firing Rate",""
,"HeatSeaker","67",0,0,0,0,0,360,.5,40,600,3,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
