"Enemy","Name",,,,,,,,,,,,
,"trebuchet",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health",,,,,,,,
,"Single","data/vehicles/trebuchet/00.png",50,20,100,,,,,,,,
"Behavior","Type","Speed","Target Distance","","","","","","","","","",""
,"Approach and Fire",5,250,,,,,,,,,,
"Weapon","Type","Image Path","Accuracy","Damage","Distance Max","Firing Rate","","","","","","",""
,"Trebuchet","data/vehicles/trebuchet/arm/00.png",80,100,300,0.5,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
