"Enemy","Name",,,,,,,,,,,,
,"bigboy",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health",,,,,,,,
,"Single","data/vehicles/bigBoy/00.png",100,20,500,,,,,,,,
"Behavior","Type","Speed","Target Radius","","","","","","","","","",""
,"Surround",5,300,,,,,,,,,,
"Weapon","Type","Image Path","Image Position X","Image Position Y","Fire Position X","Fire Position Y","Rotation Min","Rotation Max","Accuracy","Damage","Distance Max","Firing Rate",""
,"MachineGun","data/particles/machineGun/00.png",0,0,0,0,0,360,100,4,300,0.8,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
